t,x,y,z,salinity_psu,temperature_c,depth_m,budget_used_m
66.03,43.661,0.116,-58.062,39.7707,23.3973,58.130,0.4
67.03,42.820,0.688,-58.585,39.7403,23.4551,58.678,1.6
68.03,41.999,1.426,-59.311,39.7836,23.4195,59.472,2.9
69.03,41.191,2.163,-60.091,39.9564,23.3842,60.197,4.3
70.03,40.378,2.369,-60.895,39.8987,23.4025,61.004,5.4
71.03,39.558,2.397,-61.713,40.1826,23.4916,61.660,6.6
72.03,38.736,2.401,-62.534,41.2543,23.7430,62.536,7.7
73.03,37.914,2.401,-63.356,44.3573,24.4860,63.368,8.9
74.03,37.092,2.401,-64.178,50.6555,26.0633,64.177,10.1
75.03,36.269,2.401,-65.000,59.5512,28.2597,65.070,11.2
76.03,35.447,2.401,-65.823,67.3938,30.2360,65.804,12.4
77.03,34.624,2.401,-66.645,68.0450,30.3905,66.646,13.6
78.03,33.802,2.401,-67.467,65.3761,29.7526,67.521,14.7
79.03,32.980,2.401,-68.290,56.9459,27.6075,68.279,15.9
80.03,32.157,2.401,-69.112,49.0757,25.6028,69.038,17.0
81.03,31.335,2.401,-69.935,44.0405,24.2918,69.793,18.2
82.03,30.511,2.401,-70.645,41.8654,23.7928,70.633,19.3
83.03,29.671,2.401,-70.778,41.5983,23.7484,70.626,20.2
84.03,28.820,2.401,-70.719,41.7845,23.7505,70.642,21.0
85.03,27.966,2.401,-70.638,41.7243,23.7589,70.415,21.9
86.03,27.110,2.401,-70.538,41.9586,23.7939,70.484,22.7
87.03,26.255,2.401,-70.435,42.0802,23.8544,70.437,23.6
88.03,25.400,2.401,-70.323,42.2640,23.9463,70.195,24.5
89.03,24.544,2.401,-70.162,42.6027,23.9921,70.224,25.3
90.03,23.690,2.401,-69.995,42.8749,24.0543,70.043,26.2
91.03,22.835,2.401,-69.846,42.9322,24.0481,69.903,27.1
92.03,21.981,2.401,-69.724,42.7085,24.0027,69.713,27.9
93.03,21.125,2.401,-69.639,42.3385,23.9371,69.665,28.8
94.03,20.990,2.446,-69.216,43.3965,24.2090,69.207,29.3
95.03,21.605,2.511,-68.492,46.7891,25.1027,68.488,30.3
96.03,22.466,2.478,-67.690,51.7316,26.3150,67.546,31.5
97.03,23.298,2.416,-66.872,54.6444,27.0607,66.676,32.6
98.03,24.116,2.399,-66.117,53.7430,26.8604,66.172,33.7
99.03,24.953,2.394,-66.029,55.3038,27.2211,66.098,34.6
100.03,25.803,2.393,-66.169,58.5260,28.0220,66.200,35.5
101.03,26.656,2.393,-66.318,61.7231,28.8395,66.326,36.3
102.03,27.511,2.393,-66.440,64.3663,29.4753,66.398,37.2
103.03,28.366,2.393,-66.540,66.4341,29.9901,66.472,38.0
104.03,29.221,2.393,-66.644,68.0907,30.4176,66.603,38.9
105.03,30.077,2.393,-66.729,67.8591,30.3666,66.793,39.8
106.03,30.932,2.393,-66.808,67.9677,30.3868,66.870,40.6
107.03,31.788,2.393,-66.839,67.9682,30.3679,66.739,41.5
108.03,32.644,2.393,-66.818,67.9782,30.3509,66.764,42.3
109.03,33.500,2.393,-66.780,68.0734,30.3673,66.889,43.2
110.03,34.356,2.393,-66.701,68.0160,30.3446,66.691,44.1
111.03,35.212,2.393,-66.620,67.9769,30.3509,66.573,44.9
112.03,36.068,2.393,-66.549,68.0608,30.4005,66.507,45.8
113.03,36.923,2.393,-66.529,67.9640,30.3756,66.563,46.6
114.03,37.779,2.393,-66.465,67.4624,30.2148,66.370,47.5
115.03,38.635,2.393,-66.321,66.1695,29.8822,66.307,48.4
116.03,39.489,2.393,-66.096,64.4599,29.4531,66.184,49.2
117.03,40.339,2.394,-65.715,61.4933,28.7627,65.686,50.2
118.03,41.189,2.394,-65.362,57.7196,27.8207,65.300,51.1
119.03,42.037,2.394,-64.969,53.2092,26.7385,64.955,52.0
120.03,42.886,2.394,-64.718,49.9800,25.8901,64.838,52.9
121.03,43.737,2.394,-64.429,46.8331,25.0981,64.698,53.8
122.03,44.590,2.394,-64.234,44.7869,24.5976,64.352,54.7
123.03,45.443,2.394,-64.090,43.2810,24.1644,64.035,55.6
124.03,46.298,2.394,-63.978,42.1436,23.9516,63.912,56.4
125.03,47.153,2.394,-63.864,41.3460,23.7202,63.834,57.3
126.03,48.009,2.394,-63.875,40.8014,23.6223,64.033,58.1
127.03,48.865,2.394,-63.906,40.5192,23.5639,63.774,59.0
128.03,49.720,2.394,-63.770,40.2238,23.5232,63.680,59.9
