t,x,y,z,salinity_psu,temperature_c,depth_m,budget_used_m
0.50,41.950,0.050,-63.265,43.6409,24.3063,63.332,0.1
1.50,41.463,0.246,-63.420,44.6793,24.6355,63.512,0.7
2.50,40.814,0.468,-63.704,46.9699,25.1667,63.865,1.4
3.50,39.993,0.698,-64.134,51.4423,26.2102,64.241,2.4
4.50,39.185,0.982,-64.357,54.0970,26.9132,64.466,3.3
5.50,38.399,1.314,-64.851,60.0062,28.4122,64.798,4.3
6.50,37.662,1.506,-65.239,64.5168,29.5282,65.241,5.2
7.50,36.760,1.866,-65.650,67.9064,30.3475,65.663,6.2
8.50,35.933,2.202,-66.095,68.0094,30.3802,66.093,7.3
9.50,34.967,2.418,-66.358,68.0348,30.3653,66.427,8.3
10.50,34.165,2.738,-66.818,67.9923,30.3744,66.799,9.3
11.50,33.225,3.117,-67.196,64.8381,29.5825,67.196,10.4
12.50,32.488,3.350,-67.651,60.7154,28.5854,67.705,11.3
13.50,31.590,3.596,-68.011,56.9948,27.6228,67.999,12.3
14.50,30.768,3.996,-68.383,52.7718,26.5351,68.309,13.3
15.50,29.901,4.220,-68.893,48.4736,25.4118,68.751,14.3
16.50,29.137,4.519,-69.257,45.6306,24.7497,69.245,15.2
17.50,28.343,4.845,-69.701,43.2419,24.1714,69.549,16.2
18.50,27.256,5.263,-70.023,42.0503,23.8247,69.945,17.4
19.50,26.505,5.470,-70.411,40.9901,23.5779,70.188,18.3
20.50,25.679,5.725,-70.975,40.3907,23.3970,70.921,19.4
21.50,24.748,6.042,-71.133,40.1481,23.3635,71.136,20.4
22.50,23.939,6.301,-71.186,40.0547,23.3842,71.058,21.3
23.50,23.116,6.680,-71.012,40.0669,23.3486,71.074,22.2
24.50,22.172,6.878,-70.841,40.0830,23.3468,70.889,23.2
25.50,21.453,7.166,-70.962,40.0129,23.3058,71.018,24.0
26.50,20.825,7.469,-70.862,39.9372,23.2971,70.850,24.7
27.50,20.955,7.518,-70.619,39.9858,23.3379,70.646,25.1
28.50,21.492,7.694,-70.467,40.0269,23.3526,70.458,25.7
29.50,22.141,7.688,-70.094,40.1496,23.4248,70.090,26.4
